richardSS(mess),embSS,year,sample,occupied,region,wetland
Y:245:24:H,Y-245-24-H,2017,1,0,west,NA
Y:245:24:H,Y-245-24-H,2018,1,0,west,NA
Y:245:24:H,Y-245-24-H,2019,1,0,west,NA
Y:246:24:A,Y-246-24-A,2015,1,0,west,NA
Y:246:24:A,Y-246-24-A,2017,1,0,west,NA
Y:246:24:A,Y-246-24-A,2019,1,0,west,NA
Y:248:13:CT,Y-248-13-CT,2013,1,0,unmineable,West of Touchwood PRA
Y:248:13:CT,Y-248-13-CT,2015,1,0,unmineable,West of Touchwood PRA
Y:248:13:CT,Y-248-13-CT,2016,1,0,unmineable,West of Touchwood PRA
Y:248:13:CT,Y-248-13-CT,2017,1,0,unmineable,West of Touchwood PRA
Y:248:13:CT,Y-248-13-CT,2018,1,0,unmineable,West of Touchwood PRA
Y:248:13:NE,Y-248-13-NE,2013,1,0,unmineable,West of Touchwood PRA
Y:248:13:NE,Y-248-13-NE,2015,1,0,unmineable,West of Touchwood PRA
Y:248:13:NE,Y-248-13-NE,2016,1,0,unmineable,West of Touchwood PRA
Y:248:13:NE,Y-248-13-NE,2017,1,0,unmineable,West of Touchwood PRA
Y:248:13:NE,Y-248-13-NE,2018,1,0,unmineable,West of Touchwood PRA
Y:248:13:NW,Y-248-13-NW,2013,1,1,unmineable,West of Touchwood PRA
Y:248:13:NW,Y-248-13-NW,2015,1,1,unmineable,West of Touchwood PRA
Y:248:13:NW,Y-248-13-NW,2016,1,1,unmineable,West of Touchwood PRA
Y:248:13:SE,Y-248-13-SE,2013,1,0,unmineable,West of Touchwood PRA
Y:248:13:SE,Y-248-13-SE,2015,1,0,unmineable,West of Touchwood PRA
Y:248:13:SE,Y-248-13-SE,2016,1,0,unmineable,West of Touchwood PRA
Y:248:13:SE,Y-248-13-SE,2017,1,0,unmineable,West of Touchwood PRA
Y:248:13:SE,Y-248-13-SE,2018,1,0,unmineable,West of Touchwood PRA
Y:248:13:SW,Y-248-13-SW,2013,1,0,unmineable,West of Touchwood PRA
Y:248:13:SW,Y-248-13-SW,2015,1,0,unmineable,West of Touchwood PRA
Y:248:13:SW,Y-248-13-SW,2016,1,0,unmineable,West of Touchwood PRA
Y:248:13:SW,Y-248-13-SW,2017,1,0,unmineable,West of Touchwood PRA
Y:248:13:SW,Y-248-13-SW,2018,1,0,unmineable,West of Touchwood PRA
Y:253:7:NE,Y-253-7-NE,2015,1,0,east,NA
Y:253:7:NE,Y-253-7-NE,2016,1,0,east,NA
Y:253:7:NE,Y-253-7-NE,2017,1,0,east,NA
Y:253:7:NE,Y-253-7-NE,2018,1,0,east,NA
Y:253:7:NE,Y-253-7-NE,2019,1,0,east,NA
Y:253:7:NW,Y-253-7-NW,2015,1,0,east,NA
Y:253:7:NW,Y-253-7-NW,2016,1,0,east,NA
Y:253:7:NW,Y-253-7-NW,2017,1,0,east,NA
Y:253:7:NW,Y-253-7-NW,2018,1,0,east,NA
Y:253:7:NW,Y-253-7-NW,2019,1,0,east,NA
Y:253:7:SE,Y-253-7-SE,2015,1,0,east,NA
Y:253:7:SE,Y-253-7-SE,2016,1,0,east,NA
