ss,year,stdsdoy
Y:276@20:NW,2013,0.87159039999999999
Y:276@20:SE,2013,0.87159039999999999
Y:276@20:SW,2013,-0.20123050000000001
Y:277@20:CT,2013,-0.60353840000000003
Y:277@20:NE,2013,-0.46943580000000001
Y:277@20:NW,2013,-0.67058969999999996
Y:277@20:SE,2013,-0.60353840000000003
Y:277@20:SW,2013,-0.53648709999999999
Y:280@21:CT,2013,0.26812859999999999
Y:280@21:NE,2013,NA
Y:280@21:NW,2013,0.87159039999999999
Y:280@21:SE,2013,0.26812859999999999
Y:280@21:SW,2013,0.40223120000000001
Y:281@21:CT,2013,-0.46943580000000001
Y:281@21:NE,2013,-0.53648709999999999
Y:281@21:NW,2013,-0.40238449999999998
Y:281@21:SE,2013,-0.46943580000000001
Y:281@21:SW,2013,-0.53648709999999999
Y:282@23:A,2013,NA
Y:282@23:B,2013,NA
Y:282@23:D,2013,NA
Y:287@22:CT,2013,1.6762060000000001
Y:287@22:NE,2013,1.6762060000000001
Y:287@22:NW,2013,1.6762060000000001
Y:287@22:SE,2013,1.6762060000000001
Y:287@22:SW,2013,1.6762060000000001
Y:288@23:CT,2013,NA
Y:288@23:NE,2013,NA
Y:288@23:NW,2013,NA
Y:288@23:SE,2013,NA
Y:288@23:SW,2013,NA
Y:290@23:CT,2013,NA
Y:290@23:NE,2013,NA
Y:290@23:NW,2013,NA
Y:290@23:SE,2013,NA
Y:290@23:SW,2013,NA
Y:291@23:CT,2013,NA
Y:291@23:NE,2013,NA
Y:291@23:NW,2013,NA
Y:291@23:SE,2013,NA
Y:291@23:SW,2013,NA
Y:293@23:CT,2013,NA
Y:293@23:NE,2013,NA
Y:293@23:NW,2013,NA
Y:293@23:SE,2013,NA
Y:293@23:SW,2013,NA
Y:294@24:CT,2013,-1.3411029999999999
Y:294@24:NE,2013,-1.4081539999999999
Y:294@24:NW,2013,-1.274052
Y:294@24:SE,2013,-1.4081539999999999
Y:294@24:SW,2013,-1.274052
Y:295@24:CT,2013,-0.067127900000000004
Y:295@24:NE,2013,-0.67058969999999996
Y:295@24:NW,2013,0.066974699999999998
Y:295@24:SE,2013,0.066974699999999998
Y:295@24:SW,2013,-0.1341792
Y:296@24:CT,2013,-1.4752050000000001
Y:296@24:NE,2013,-1.542257
Y:296@24:NW,2013,-1.3411029999999999
Y:296@24:SE,2013,-1.4081539999999999
Y:296@24:SW,2013,-1.3411029999999999
