location,year,datetime,occupied,region,latitude,longitude
Y-13-250-CT,2021,NA,NOT SURVEYED,UNMINEABLE,54.85707,-111.7901
Y-13-250-CT,2013,NA,NOT SURVEYED,UNMINEABLE,54.85707,-111.7901
Y-13-250-NE,2014,NA,NOT SURVEYED,UNMINEABLE,54.85979,-111.7855
Y-13-250-NE,2015,NA,NOT SURVEYED,UNMINEABLE,54.85979,-111.7855
Y-13-250-NE,2016,NA,NOT SURVEYED,UNMINEABLE,54.85979,-111.7855
Y-13-250-NE,2017,NA,NOT SURVEYED,UNMINEABLE,54.85979,-111.7855
Y-13-250-NE,2018,NA,NOT SURVEYED,UNMINEABLE,54.85979,-111.7855
Y-13-250-NE,2019,NA,NOT SURVEYED,UNMINEABLE,54.85979,-111.7855
Y-13-250-NE,2020,NA,NOT SURVEYED,UNMINEABLE,54.85979,-111.7855
Y-13-250-NE,2021,NA,NOT SURVEYED,UNMINEABLE,54.85979,-111.7855
Y-13-250-NW,2014,NA,NOT SURVEYED,UNMINEABLE,54.85973,-111.7948
Y-13-250-NW,2015,NA,NOT SURVEYED,UNMINEABLE,54.85973,-111.7948
Y-13-250-NW,2016,NA,NOT SURVEYED,UNMINEABLE,54.85973,-111.7948
Y-13-250-NW,2017,NA,NOT SURVEYED,UNMINEABLE,54.85973,-111.7948
Y-13-250-NW,2018,NA,NOT SURVEYED,UNMINEABLE,54.85973,-111.7948
Y-13-250-NW,2019,NA,NOT SURVEYED,UNMINEABLE,54.85973,-111.7948
Y-13-250-NW,2020,NA,NOT SURVEYED,UNMINEABLE,54.85973,-111.7948
Y-13-250-NW,2021,NA,NOT SURVEYED,UNMINEABLE,54.85973,-111.7948
Y-13-250-NW,2013,NA,NOT SURVEYED,UNMINEABLE,54.85973,-111.7948
Y-13-250-SE,2014,NA,NOT SURVEYED,UNMINEABLE,54.8544,-111.7854
Y-13-250-SE,2015,NA,NOT SURVEYED,UNMINEABLE,54.8544,-111.7854
Y-13-250-SE,2016,NA,NOT SURVEYED,UNMINEABLE,54.8544,-111.7854
Y-13-250-SE,2017,NA,NOT SURVEYED,UNMINEABLE,54.8544,-111.7854
Y-13-250-SE,2018,NA,NOT SURVEYED,UNMINEABLE,54.8544,-111.7854
Y-13-250-SE,2019,NA,NOT SURVEYED,UNMINEABLE,54.8544,-111.7854
Y-13-250-SE,2020,NA,NOT SURVEYED,UNMINEABLE,54.8544,-111.7854
Y-13-250-SE,2021,NA,NOT SURVEYED,UNMINEABLE,54.8544,-111.7854
Y-13-250-SE,2013,NA,NOT SURVEYED,UNMINEABLE,54.8544,-111.7854
Y-13-250-SW,2014,NA,NOT SURVEYED,UNMINEABLE,54.85434,-111.7947
Y-13-250-SW,2015,NA,NOT SURVEYED,UNMINEABLE,54.85434,-111.7947
Y-13-250-SW,2016,NA,NOT SURVEYED,UNMINEABLE,54.85434,-111.7947
Y-13-250-SW,2017,NA,NOT SURVEYED,UNMINEABLE,54.85434,-111.7947
Y-13-250-SW,2018,NA,NOT SURVEYED,UNMINEABLE,54.85434,-111.7947
Y-13-250-SW,2019,NA,NOT SURVEYED,UNMINEABLE,54.85434,-111.7947
Y-13-250-SW,2020,NA,NOT SURVEYED,UNMINEABLE,54.85434,-111.7947
Y-13-250-SW,2021,NA,NOT SURVEYED,UNMINEABLE,54.85434,-111.7947
Y-13-399-A,2013,NA,NOT SURVEYED,UNMINEABLE,54.85501,-111.5448
Y-13-399-A,2014,NA,NOT SURVEYED,UNMINEABLE,54.85501,-111.5448
Y-13-399-A,2017,NA,NOT SURVEYED,UNMINEABLE,54.85501,-111.5448
Y-13-399-A,2018,NA,NOT SURVEYED,UNMINEABLE,54.85501,-111.5448
Y-13-399-A,2019,NA,NOT SURVEYED,UNMINEABLE,54.85501,-111.5448
Y-13-399-A,2020,NA,NOT SURVEYED,UNMINEABLE,54.85501,-111.5448
Y-13-399-A,2021,NA,NOT SURVEYED,UNMINEABLE,54.85501,-111.5448
Y-13-399-B,2013,NA,NOT SURVEYED,UNMINEABLE,54.8505,-111.5401
Y-13-399-B,2014,NA,NOT SURVEYED,UNMINEABLE,54.8505,-111.5401
Y-13-399-B,2017,NA,NOT SURVEYED,UNMINEABLE,54.8505,-111.5401
Y-13-399-B,2018,NA,NOT SURVEYED,UNMINEABLE,54.8505,-111.5401
Y-13-399-B,2019,NA,NOT SURVEYED,UNMINEABLE,54.8505,-111.5401
Y-13-399-B,2020,NA,NOT SURVEYED,UNMINEABLE,54.8505,-111.5401
Y-13-399-B,2021,NA,NOT SURVEYED,UNMINEABLE,54.8505,-111.5401
Y-13-399-B,2015,NA,NOT SURVEYED,UNMINEABLE,54.8505,-111.5401
Y-13-399-C,2013,NA,NOT SURVEYED,UNMINEABLE,54.85134,-111.5473
Y-13-399-C,2014,NA,NOT SURVEYED,UNMINEABLE,54.85134,-111.5473
Y-13-399-C,2017,NA,NOT SURVEYED,UNMINEABLE,54.85134,-111.5473
Y-13-399-C,2018,NA,NOT SURVEYED,UNMINEABLE,54.85134,-111.5473
Y-13-399-C,2019,NA,NOT SURVEYED,UNMINEABLE,54.85134,-111.5473
Y-13-399-C,2020,NA,NOT SURVEYED,UNMINEABLE,54.85134,-111.5473
Y-13-399-C,2021,NA,NOT SURVEYED,UNMINEABLE,54.85134,-111.5473
Y-13-399-D,2013,NA,NOT SURVEYED,UNMINEABLE,54.84944,-111.5558
Y-13-399-D,2014,NA,NOT SURVEYED,UNMINEABLE,54.84944,-111.5558
Y-13-399-D,2017,NA,NOT SURVEYED,UNMINEABLE,54.84944,-111.5558
Y-13-399-D,2018,NA,NOT SURVEYED,UNMINEABLE,54.84944,-111.5558
Y-13-399-D,2019,NA,NOT SURVEYED,UNMINEABLE,54.84944,-111.5558
Y-13-399-D,2020,NA,NOT SURVEYED,UNMINEABLE,54.84944,-111.5558
Y-13-399-D,2021,NA,NOT SURVEYED,UNMINEABLE,54.84944,-111.5558
Y-13-399-E,2013,NA,NOT SURVEYED,UNMINEABLE,54.85425,-111.5536
Y-13-399-E,2014,NA,NOT SURVEYED,UNMINEABLE,54.85425,-111.5536
Y-13-399-E,2016,NA,NOT SURVEYED,UNMINEABLE,54.85425,-111.5536
Y-13-399-E,2017,NA,NOT SURVEYED,UNMINEABLE,54.85425,-111.5536
Y-13-399-E,2018,NA,NOT SURVEYED,UNMINEABLE,54.85425,-111.5536
Y-13-399-E,2019,NA,NOT SURVEYED,UNMINEABLE,54.85425,-111.5536
Y-13-399-E,2020,NA,NOT SURVEYED,UNMINEABLE,54.85425,-111.5536
Y-13-399-E,2021,NA,NOT SURVEYED,UNMINEABLE,54.85425,-111.5536
Y-13-399-E,2015,NA,NOT SURVEYED,UNMINEABLE,54.85425,-111.5536
Y-14-252-CT,2014,NA,NOT SURVEYED,UNMINEABLE,55.15478,-111.7886
Y-14-252-CT,2015,NA,NOT SURVEYED,UNMINEABLE,55.15478,-111.7886
Y-14-252-CT,2016,NA,NOT SURVEYED,UNMINEABLE,55.15478,-111.7886
Y-14-252-CT,2017,NA,NOT SURVEYED,UNMINEABLE,55.15478,-111.7886
Y-14-252-CT,2018,NA,NOT SURVEYED,UNMINEABLE,55.15478,-111.7886
Y-14-252-CT,2019,NA,NOT SURVEYED,UNMINEABLE,55.15478,-111.7886
Y-14-252-CT,2020,NA,NOT SURVEYED,UNMINEABLE,55.15478,-111.7886
Y-14-252-CT,2021,NA,NOT SURVEYED,UNMINEABLE,55.15478,-111.7886
Y-14-252-NE,2014,NA,NOT SURVEYED,UNMINEABLE,55.15871,-111.7856
Y-14-252-NE,2015,NA,NOT SURVEYED,UNMINEABLE,55.15871,-111.7856
Y-14-252-NE,2016,NA,NOT SURVEYED,UNMINEABLE,55.15871,-111.7856
Y-14-252-NE,2017,NA,NOT SURVEYED,UNMINEABLE,55.15871,-111.7856
Y-14-252-NE,2018,NA,NOT SURVEYED,UNMINEABLE,55.15871,-111.7856
Y-14-252-NE,2019,NA,NOT SURVEYED,UNMINEABLE,55.15871,-111.7856
Y-14-252-NE,2020,NA,NOT SURVEYED,UNMINEABLE,55.15871,-111.7856
Y-14-252-NE,2021,NA,NOT SURVEYED,UNMINEABLE,55.15871,-111.7856
