project,organization,location,recording_date,recording_time,latitude,longitude,YERAobs,long4,lat4,datetime,syear,sdoy,shod,stod,long3,lat3,numyears,region
Bayne-OSM-YERA-2021,BU,P-P5-20-45,2021-06-03,2:20:00,55.14429,-111.6811,1,-111.6811,55.1443,2021-06-03 2:20,2021,154,2,2.333333,-111.681,55.144,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-4-212-CT,2021-06-23,0:40:00,54.62856,-110.4218,1,-110.4218,54.6286,2021-06-23 0:40,2021,174,0,0.6666667,-110.422,54.629,2,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-55-475-B,2021-07-09,2:00:00,55.88527,-113.874,0,-113.874,55.8853,2021-07-09 2:00,2021,190,2,2,-113.874,55.885,2,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-18-376-A,2021-07-08,0:00:00,54.69197,-110.7686,0,-110.7686,54.692,2021-07-08 0:00,2021,189,0,0,-110.769,54.692,2,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-4-212-CT,2021-06-21,2:00:00,54.62856,-110.4218,0,-110.4218,54.6286,2021-06-21 2:00,2021,172,2,2,-110.422,54.629,2,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-55-473-SW,2021-07-09,1:40:00,55.94399,-113.8335,0,-113.8335,55.944,2021-07-09 1:40,2021,190,1,1.666667,-113.833,55.944,2,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-2-204-CT,2021-07-09,1:00:00,54.68429,-110.7701,0,-110.7701,54.6843,2021-07-09 1:00,2021,190,1,1,-110.77,54.684,2,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-55-474-D,2021-07-09,0:40:00,55.95538,-113.9053,0,-113.9053,55.9554,2021-07-09 0:40,2021,190,0,0.6666667,-113.905,55.955,2,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-5-216-A,2021-06-22,1:00:00,54.43712,-110.0616,1,-110.0616,54.4371,2021-06-22 1:00,2021,173,1,1,-110.062,54.437,2,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-2-204-CT,2021-07-09,2:40:00,54.68429,-110.7701,0,-110.7701,54.6843,2021-07-09 2:40,2021,190,2,2.666667,-110.77,54.684,2,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-18-376-C,2021-07-09,1:20:00,54.68715,-110.7768,0,-110.7768,54.6871,2021-07-09 1:20,2021,190,1,1.333333,-110.777,54.687,2,UNMINEABLE
